post-attention projection norm w/ residual conn,post-attention projection norm w/o residual conn,post-mlp projection norm w/ residual conn,post-mlp projection norm w/o residual conn
6.098637220230962e-19,6.098637220230962e-19,6.166399856011306e-19,6.166399856011306e-19
5.793705359219414e-19,5.793705359219414e-19,5.082197683525802e-19,5.082197683525802e-19
0.051025390625,0.05078125,0.361328125,0.357421875
6.132518538121134e-19,6.132518538121134e-19,6.132518538121134e-19,6.132518538121134e-19
32.0,9.4375,260.0,260.0
0.01226806640625,0.01171875,0.032958984375,0.03271484375
6.098637220230962e-19,6.098637220230962e-19,6.166399856011306e-19,6.166399856011306e-19
31.625,8.875,274.0,274.0
60.75,1.2109375,2.328125,1.390625
0.322265625,0.25390625,0.1923828125,0.158203125
6.132518538121134e-19,6.132518538121134e-19,6.2680438096818225e-19,6.2680438096818225e-19
31.125,8.5,255.0,255.0
30.375,1.9296875,2.265625,1.0546875
106.0,1.625,2.375,1.2578125
0.052001953125,0.05078125,0.0546875,0.049072265625
6.132518538121134e-19,6.132518538121134e-19,6.301925127571995e-19,6.301925127571995e-19
31.0,8.375,249.0,248.0
51.75,2.34375,2.5625,1.296875
118.0,1.4140625,1.9765625,1.0859375
3.171875,1.7734375,3.109375,1.75
0.05126953125,0.040771484375,0.03173828125,0.0277099609375
6.132518538121134e-19,6.132518538121134e-19,6.2002811739014785e-19,6.2002811739014785e-19
30.75,8.4375,249.0,249.0
45.25,2.625,2.671875,1.34375
113.0,1.4453125,1.859375,1.1953125
27.0,2.078125,2.90625,1.3515625
32.5,1.0625,2.96875,2.25
0.1220703125,0.08935546875,0.05810546875,0.042236328125
6.166399856011306e-19,6.166399856011306e-19,6.301925127571995e-19,6.301925127571995e-19
30.5,8.5625,250.0,250.0
50.75,2.546875,2.53125,1.3828125
116.0,1.25,1.7578125,1.3359375
24.75,1.984375,2.34375,1.2890625
24.125,0.7421875,1.2890625,1.1640625
23.5,1.140625,1.8203125,1.4609375
0.111328125,0.08984375,0.11279296875,0.09521484375
6.166399856011306e-19,6.166399856011306e-19,6.301925127571995e-19,6.301925127571995e-19
30.75,8.5625,249.0,249.0
51.5,2.59375,2.59375,1.2890625
